satd id,satd instance,project,committer name,Commit Hash,old comment,New Comment,resolution,Method Signature,Method Declaration,Method Body
278,-1413930406,apache/log4j,Scott Deboy,7db3e1f0e0bb4c4b77e638df7580b4b8377aeb4a,TODO work out how the Selector has it's AppenderFactory configured by Joran,TODO work out how the Selector has it's AppenderFactory configured by Joran,CLASS_OR_METHOD_CHANGED,activateOptions(),public void activateOptions(),"
    // check that we have a selector of something at this point
    if (getSelector() == null) {
        throw new IllegalStateException(""Should have had a Selector defined at this point"");
    }
// TODO work out how the Selector has it's AppenderFactory configured by Joran
"
272,-1413930379,apache/log4j,Ceki Gulcu,e08a60f350fe21e2be1ffae32a6ef707242f29c1,None,TODO: add support for spaces in prooperty keys,SATD_ADDED,testProperty2(),"public void testProperty2() throws IOException, ScanError","
// TODO: add support for spaces in prooperty keys
// StringReader sr = new StringReader("" property.'toto a' etc"");
// TokenStream ts = new TokenStream(sr);
// 
// ts.next(); t = ts.getCurrent();
// assertEquals(Token.PROPERTY, t.getType());
// assertEquals(""toto a"", t.getValue());
"
271,-1413930380,apache/log4j,Ceki Gulcu,c6d8b7375cfcf4a4cc5dfc975c7abf2289cf825d,None,"the following test cannot be run because of a bug in the way
java.io.StreamTokenizer incorrectly interprets the '\' character within quotes",SATD_ADDED,testRegexMessage(),"public void testRegexMessage() throws Exception, ScanError","
    evaluator = new LBELEventEvaluator(""message ~ 'hello'"");
    assertTrue(evaluator.evaluate(event));
    evaluator = new LBELEventEvaluator(""message ~ 'h[a-z]* world'"");
    assertTrue(evaluator.evaluate(event));
    // the following test cannot be run because of a bug in the way
    // java.io.StreamTokenizer incorrectly interprets the '\' character within quotes
    // evaluator = new LBELEventEvaluator(""message ~ 'h\\w* world'"");
    // assertTrue(evaluator.evaluate(event));
    LBELEventEvaluator evaluator = new LBELEventEvaluator(""message !~ 'x'"");
    assertTrue(evaluator.evaluate(event));
    evaluator = new LBELEventEvaluator(""message !~ 'x[a-z]* world'"");
    assertTrue(evaluator.evaluate(event));
"
269,-1413930382,apache/log4j,Ceki Gulcu,25517ae23def94e51e9c3b77ff3d0089c9279f8e,None,"FIXME: We should not flood other appenders but at the same time
should output something meaningful (only once though).
Logging not allowed:
getLogger().error(",SATD_ADDED,doAppend(LoggingEvent),public synchronized void doAppend(LoggingEvent event),"
    // WARNING: The guard check MUST be the first statement in the
    // doAppend() method.
    // prevent re-entry.
    if (guard) {
        return;
    }
    try {
        guard = true;
        if (closed) {
            // FIXME: We should not flood other appenders but at the same time
            // should output something meaningful (only once though).
            // Logging not allowed:
            // getLogger().error(
            // ""Attempted to append to closed appender named [{}]."", name);
            return;
        }
        if (!isAsSevereAsThreshold(event.getLevel())) {
            return;
        }
        Filter f = this.headFilter;
        FILTER_LOOP: while (f != null) {
            switch(f.decide(event)) {
                case Filter.DENY:
                    return;
                case Filter.ACCEPT:
                    break FILTER_LOOP;
                case Filter.NEUTRAL:
                    f = f.getNext();
            }
        }
        this.append(event);
    } finally {
        guard = false;
    }
"
268,-1413930383,apache/log4j,Ceki Gulcu,1f62d9a039c3ee68f66c6c5cb41760438777dfd8,TODO: this method should be removed if OptionConverter becomes a static,TODO: this method should be removed if OptionConverter becomes totally static,SATD_CHANGED,setLoggerRepository(LoggerRepository),public static void setLoggerRepository(LoggerRepository lr),"
"
267,-1413930383,apache/log4j,Scott Deboy,d192ca52485990a035b7ef84cea67a6743ad3d47,None,TODO: this method should be removed if OptionConverter becomes a static,SATD_ADDED,setLoggerRepository(LoggerRepository),public static void setLoggerRepository(LoggerRepository lr),"
"
266,-1413930384,apache/log4j,Scott Deboy,d192ca52485990a035b7ef84cea67a6743ad3d47,None,TODO: this method should be removed if OptionConverter becomes a static,SATD_ADDED,getLogger()," static Logger getLogger()","
    return LogManager.getLogger(OptionConverter.class);
"
262,-1413930397,apache/log4j,Ceki Gulcu,0db46c49dc1c195b50feb9e3db59ae26fec623cc,"If the systemId is not for us to handle, we delegate to our super
class, at leasts that's the basic idea. However, the code below
needs to be more complicated.","If the systemId is not for us to handle, we delegate to our super
class, at leasts that's the basic idea. However, the code below
needs to be more complicated.
Due to inexplicable voodoo, the original resolveEntity method in
org.xml.sax.helpers.DefaultHandler declares throwing an IOException,
whereas the org.xml.sax.helpers.DefaultHandler class included in
JDK 1.4 masks this exception. In JDK 1.5, the IOException has been
put back...
In order to compile under JDK 1.4, we are forced to mask the IOException
as well. Since its signatures varies, we cannot call our super class'
resolveEntity method. We are forced to implement the default behavior
ourselves, which in this case, is just returning null.",SATD_REMOVED,error(SAXParseException),public void error(final SAXParseException spe),"
    errorReport(spe);
"
260,-1413930385,apache/log4j,Ceki Gulcu,6e636eebbcc46431fe15821866d2518f3ca9840d,None,"if repository is set but logger is not an instance of Logger, we
could reset the logger, as in the line below. However, we chose not to
do so in order to make the bigger problem more apparent.",SATD_ADDED,getLogger(),protected ULogger getLogger(),"
    if (logger == null) {
        if (repository != null) {
            logger = repository.getLogger(this.getClass().getName());
        } else {
            logger = LogManager.SIMPLE_LOGGER_FA.getLogger(this.getClass().getName());
        }
    } else if (repository != null && !(logger instanceof org.apache.log4j.Logger)) {
    // if repository is set but logger is not an instance of Logger, we
    // could reset the logger, as in the line below. However, we chose not to
    // do so in order to make the bigger problem more apparent.
    // logger = repository.getLogger(this.getClass().getName());
    }
    return logger;
"
257,-1413930386,apache/log4j,Ceki Gulcu,6a00ff29234b4f5a13eb18b087757707ab208868,"subsequent calls within one minute
are optimized to reuse previous formatted value
make a couple of nearly spaced calls
(Note: 'Z' is JDK 1.4, using 'z' instead.)","subsequent calls within one minute
are optimized to reuse previous formatted value
make a couple of nearly spaced calls
(Note: 'Z' is JDK 1.4, using 'z' instead.)",CLASS_OR_METHOD_CHANGED,disabled_test5(),public void disabled_test5(),"
    // subsequent calls within one minute
    // are optimized to reuse previous formatted value
    // make a couple of nearly spaced calls
    // (Note: 'Z' is JDK 1.4, using 'z' instead.)
    Locale thai = new Locale(""th"", ""TH"");
    SimpleDateFormat baseFormat = new SimpleDateFormat(""EEE, MMM dd, HH:mm:ss.SSS z"", thai);
    DateFormat cachedFormat = new CachedDateFormat(baseFormat, 1000);
    // 
    // use a date in the year 2000 CE to attempt to confuse the millisecond locator
    long ticks = 11141L * 86400000L;
    String sx;
    Date jul1 = new Date(ticks);
    sx = cachedFormat.format(jul1);
    System.out.println(baseFormat.format(jul1));
    System.out.println(sx);
    assertEquals(baseFormat.format(jul1), sx);
    sx = cachedFormat.format(jul1);
    System.out.println(baseFormat.format(jul1));
    System.out.println(sx);
    assertEquals(baseFormat.format(jul1), sx);
    Date plus8ms = new Date(ticks + 8);
    sx = cachedFormat.format(plus8ms);
    System.out.println(baseFormat.format(plus8ms));
    System.out.println(sx);
    assertEquals(baseFormat.format(plus8ms), sx);
    Date plus17ms = new Date(ticks + 17);
    assertEquals(baseFormat.format(plus17ms), cachedFormat.format(plus17ms));
    Date plus237ms = new Date(ticks + 237);
    assertEquals(baseFormat.format(plus237ms), cachedFormat.format(plus237ms));
    Date plus1415ms = new Date(ticks + 1415);
    assertEquals(baseFormat.format(plus1415ms), cachedFormat.format(plus1415ms));
"
256,-1413930386,apache/log4j,Ceki Gulcu,305263f69ff0b6fe1597f662207f30d396b7da62,None,"subsequent calls within one minute
are optimized to reuse previous formatted value
make a couple of nearly spaced calls
(Note: 'Z' is JDK 1.4, using 'z' instead.)",SATD_ADDED,disabled_test5(),public void disabled_test5(),"
    // subsequent calls within one minute
    // are optimized to reuse previous formatted value
    // make a couple of nearly spaced calls
    // (Note: 'Z' is JDK 1.4, using 'z' instead.)
    Locale thai = new Locale(""th"", ""TH"");
    SimpleDateFormat baseFormat = new SimpleDateFormat(""EEE, MMM dd, HH:mm:ss.SSS z"", thai);
    DateFormat cachedFormat = new CachedDateFormat(baseFormat, 1000);
    // 
    // use a date in the year 2000 CE to attempt to confuse the millisecond locator
    long ticks = 11141L * 86400000L;
    String sx;
    Date jul1 = new Date(ticks);
    sx = cachedFormat.format(jul1);
    System.out.println(baseFormat.format(jul1));
    System.out.println(sx);
    assertEquals(baseFormat.format(jul1), sx);
    sx = cachedFormat.format(jul1);
    System.out.println(baseFormat.format(jul1));
    System.out.println(sx);
    assertEquals(baseFormat.format(jul1), sx);
    Date plus8ms = new Date(ticks + 8);
    sx = cachedFormat.format(plus8ms);
    System.out.println(baseFormat.format(plus8ms));
    System.out.println(sx);
    assertEquals(baseFormat.format(plus8ms), sx);
    Date plus17ms = new Date(ticks + 17);
    assertEquals(baseFormat.format(plus17ms), cachedFormat.format(plus17ms));
    Date plus237ms = new Date(ticks + 237);
    assertEquals(baseFormat.format(plus237ms), cachedFormat.format(plus237ms));
    Date plus1415ms = new Date(ticks + 1415);
    assertEquals(baseFormat.format(plus1415ms), cachedFormat.format(plus1415ms));
"
255,-1413930387,apache/log4j,Ceki Gulcu,305263f69ff0b6fe1597f662207f30d396b7da62,None,"subsequent calls within one minute are optimized to reuse previous
formatted value. make a couple of nearly spaced calls
(Note: 'Z' is JDK 1.4, using 'z' instead.)",SATD_ADDED,test4(),public void test4(),"
    // subsequent calls within one minute are optimized to reuse previous
    // formatted value. make a couple of nearly spaced calls
    // (Note: 'Z' is JDK 1.4, using 'z' instead.)
    SimpleDateFormat baseFormat = new SimpleDateFormat(""EEE, MMM dd, HH:mm:ss.SSS z"", Locale.ENGLISH);
    DateFormat cachedFormat = new CachedDateFormat(baseFormat, 1000);
    // 
    // use a date in 2000 to attempt to confuse the millisecond locator
    long ticks = 11141L * 86400000L;
    Date jul1 = new Date(ticks);
    assertEquals(baseFormat.format(jul1), cachedFormat.format(jul1));
    Date plus8ms = new Date(ticks + 8);
    String base = baseFormat.format(plus8ms);
    String cached = cachedFormat.format(plus8ms);
    assertEquals(baseFormat.format(plus8ms), cachedFormat.format(plus8ms));
    Date plus17ms = new Date(ticks + 17);
    assertEquals(baseFormat.format(plus17ms), cachedFormat.format(plus17ms));
    Date plus237ms = new Date(ticks + 237);
    assertEquals(baseFormat.format(plus237ms), cachedFormat.format(plus237ms));
    Date plus1415ms = new Date(ticks + 1415);
    assertEquals(baseFormat.format(plus1415ms), cachedFormat.format(plus1415ms));
"
254,-1413930388,apache/log4j,Ceki Gulcu,2029de5a9357d7ca66c3ebee96058451cc4b0795,None,TODO consider falling back on something more meaningful,SATD_ADDED,getLogger(String),public static ULogger getLogger(String name),"
    return adapter.getLogger(name);
"
253,-1413930389,apache/log4j,Ceki Gulcu,f64dc00b4caf5b8043f9ebbd568ac5fd990dbfd1,None,"at this point, the probability of the two events being equal is
extremely high. The next few test is optimized to take advantage of
this knowlege. (We only compare string lengths instead of invoking
string.equals which is much slower when the two string are equal.",SATD_ADDED,equals(Object),public boolean equals(Object rObject),"
    if (this == rObject) {
        return true;
    }
    if (!(rObject instanceof LoggingEvent)) {
        return false;
    }
    LoggingEvent rEvent = (LoggingEvent) rObject;
    if (timeStamp != rEvent.timeStamp) {
        return false;
    }
    if (sequenceNumber != rEvent.sequenceNumber) {
        return false;
    }
    // at this point, the probability of the two events being equal is
    // extremely high. The next few test is optimized to take advantage of
    // this knowlege. (We only compare string lengths instead of invoking
    // string.equals which is much slower when the two string are equal.
    if (categoryName != null && rEvent.categoryName != null) {
        if (categoryName.length() != rEvent.categoryName.length()) {
            return false;
        }
    } else if (categoryName != rEvent.categoryName) {
        // of categoryNames is null while the other is not, they can't possibly
        // be equal
        return false;
    }
    // If timestamp, sequenceNumber and categoryName length are equal than the
    // events are assumed to be equal.
    return true;
"
252,-1413930390,apache/log4j,Curtis William Arnold,31f5b471836a18905c8001562a5ac602aa350bf9,None,"NOTE: tab addition is a very fragile process - if you modify this code,
verify the frames in the individual log panels initialize to their
correct sizes",SATD_ADDED,showSplash(Frame),private static final void showSplash(Frame owner),"
    splash = new ChainsawSplash(owner);
    SwingHelper.centerOnScreen(splash);
    splash.setVisible(true);
"
251,-1413930391,apache/log4j,Curtis William Arnold,17fa629e45d0dcd55b81edb34286e8c675a0bfd4,None,"
TODO: why is this returning ,120 ... , 120
",SATD_ADDED,test17(),public void test17(),"
    Date jul2 = new Date(12602L * 86400000L);
    String badPattern = ""HH:mm:ss,SSS HH:mm:ss,SSS"";
    SimpleDateFormat simpleFormat = new SimpleDateFormat(badPattern);
    simpleFormat.setTimeZone(GMT);
    DateFormat cachedFormat = new CachedDateFormat(simpleFormat, 1000);
    String s = cachedFormat.format(jul2);
    assertEquals(""00:00:00,000 00:00:00,000"", s);
    jul2.setTime(jul2.getTime() + 120);
    assertEquals(""00:00:00,120 00:00:00,120"", simpleFormat.format(jul2));
    s = cachedFormat.format(jul2);
    // 
    // TODO: why is this returning ,120 ... , 120
    // 
    // assertEquals(""00:00:00,120 00:00:00,000"", s) ;
    int maxValid = CachedDateFormat.getMaximumCacheValidity(badPattern);
    assertEquals(1, maxValid);
"
249,-1413930392,apache/log4j,Ceki Gulcu,a4780f399cbdd589a8b1ace5d00792c2e1f762e0,None,"if we can cache, so much the better",SATD_ADDED,setOptions(List),public void setOptions(List optionList),"
    String patternOption;
    if (optionList == null || optionList.size() == 0) {
        // the branch could be optimized, but here we are making explicit
        // that null values for patternOption are allowed.
        patternOption = null;
    } else {
        patternOption = (String) optionList.get(0);
    }
    String pattern;
    if (patternOption == null) {
        pattern = ""yyyy-MM-dd HH:mm:ss,SSS"";
    } else if (patternOption.equalsIgnoreCase(AbsoluteTimeDateFormat.ISO8601_DATE_FORMAT)) {
        pattern = ""yyyy-MM-dd HH:mm:ss,SSS"";
    } else if (patternOption.equalsIgnoreCase(AbsoluteTimeDateFormat.ABS_TIME_DATE_FORMAT)) {
        pattern = ""HH:mm:ss,SSS"";
    } else if (patternOption.equalsIgnoreCase(AbsoluteTimeDateFormat.DATE_AND_TIME_DATE_FORMAT)) {
        pattern = ""dd MMM yyyy HH:mm:ss,SSS"";
    } else {
        pattern = patternOption;
    }
    try {
        df = new SimpleDateFormat(pattern);
    } catch (IllegalArgumentException e) {
        logger.warn(""Could not instantiate SimpleDateFormat with pattern "" + patternOption, e);
        // detault for the ISO8601 format
        pattern = ""yyyy-MM-dd HH:mm:ss,SSS"";
        df = new SimpleDateFormat(""yyyy-MM-dd HH:mm:ss,SSS"");
    }
    // if the option list contains a TZ option, then set it.
    if (optionList != null && optionList.size() > 1) {
        TimeZone tz = TimeZone.getTimeZone((String) optionList.get(1));
        df.setTimeZone(tz);
    }
    // if we can cache, so much the better
    if (CacheUtil.isPatternSafeForCaching(pattern)) {
        df = new CachedDateFormat(df);
    }
"
246,-1413930393,apache/log4j,Ceki Gulcu,e267766d610de35b2d96fdba6b5aa55ceeac3f4a,"
calling ourself should be safe and faster
but why risk it","
calling ourself should be safe and faster
but why risk it",FILE_PATH_CHANGED,"format(Date, StringBuffer, FieldPosition)","public StringBuffer format(Date date, StringBuffer sbuf, FieldPosition fieldPosition)","
    if (millisecondStart == UNRECOGNIZED_MILLISECOND_PATTERN) {
        return formatter.format(date, sbuf, fieldPosition);
    }
    long now = date.getTime();
    if (now < previousTime + 1000L && now >= previousTime) {
        if (millisecondStart >= 0) {
            cache.delete(millisecondStart, millisecondStart + 3);
            int millis = (int) (now - previousTime);
            int cacheLength = cache.length();
            // 
            // append milliseconds to the end of the cache
            numberFormat.format(millis, cache, fieldPosition);
            int milliLength = cache.length() - cacheLength;
            // 
            // if it didn't belong at the end, then move it
            if (cacheLength != millisecondStart) {
                String milli = cache.substring(cacheLength);
                cache.setLength(cacheLength);
                cache.insert(millisecondStart, milli);
            }
            for (int i = milliLength; i < 3; i++) {
                cache.insert(millisecondStart, ""0"");
            }
        }
        sbuf.append(cache);
    } else {
        previousTime = (now / 1000L) * 1000L;
        // 
        // if earlier than 1970 and rounded toward 1970
        // then move back one second
        if (now - previousTime < 0) {
            previousTime -= 1000;
        }
        cache.setLength(0);
        formatter.format(new Date(previousTime), cache, fieldPosition);
        millisecondStart = findMillisecondStart(previousTime, cache.toString(), formatter);
        // 
        // calling ourself should be safe and faster
        // but why risk it
        formatter.format(date, sbuf, fieldPosition);
    }
    return sbuf;
"
245,-1413930394,apache/log4j,Ceki Gulcu,e267766d610de35b2d96fdba6b5aa55ceeac3f4a,"
if it didn't belong at the end, then move it","
if it didn't belong at the end, then move it",FILE_PATH_CHANGED,"format(Date, StringBuffer, FieldPosition)","public StringBuffer format(Date date, StringBuffer sbuf, FieldPosition fieldPosition)","
    if (millisecondStart == UNRECOGNIZED_MILLISECOND_PATTERN) {
        return formatter.format(date, sbuf, fieldPosition);
    }
    long now = date.getTime();
    if (now < previousTime + 1000L && now >= previousTime) {
        if (millisecondStart >= 0) {
            cache.delete(millisecondStart, millisecondStart + 3);
            int millis = (int) (now - previousTime);
            int cacheLength = cache.length();
            // 
            // append milliseconds to the end of the cache
            numberFormat.format(millis, cache, fieldPosition);
            int milliLength = cache.length() - cacheLength;
            // 
            // if it didn't belong at the end, then move it
            if (cacheLength != millisecondStart) {
                String milli = cache.substring(cacheLength);
                cache.setLength(cacheLength);
                cache.insert(millisecondStart, milli);
            }
            for (int i = milliLength; i < 3; i++) {
                cache.insert(millisecondStart, ""0"");
            }
        }
        sbuf.append(cache);
    } else {
        previousTime = (now / 1000L) * 1000L;
        // 
        // if earlier than 1970 and rounded toward 1970
        // then move back one second
        if (now - previousTime < 0) {
            previousTime -= 1000;
        }
        cache.setLength(0);
        formatter.format(new Date(previousTime), cache, fieldPosition);
        millisecondStart = findMillisecondStart(previousTime, cache.toString(), formatter);
        // 
        // calling ourself should be safe and faster
        // but why risk it
        formatter.format(date, sbuf, fieldPosition);
    }
    return sbuf;
"
